"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Get exercise","LMS service","Fri May 16 18:56:38 GMT 2025","passed","Fri May 16 18:56:38 GMT 2025","Get entity","Exercises","",""
"","268","Create file with empty directory","LMS service","Fri May 16 18:56:42 GMT 2025","passed","Fri May 16 18:56:42 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Fri May 16 18:56:44 GMT 2025","passed","Fri May 16 18:56:44 GMT 2025","Get entity","Users","",""
"","283","Login with correct email and password","LMS service","Fri May 16 18:56:34 GMT 2025","passed","Fri May 16 18:56:35 GMT 2025","Login","Authentication","",""
"","34","Update course","LMS service","Fri May 16 18:56:36 GMT 2025","passed","Fri May 16 18:56:36 GMT 2025","Update entity","Courses","",""
"","543","Create user","LMS service","Fri May 16 18:56:42 GMT 2025","passed","Fri May 16 18:56:43 GMT 2025","Create entity","Users","",""
"","287","Create user","LMS service","Fri May 16 18:56:42 GMT 2025","passed","Fri May 16 18:56:43 GMT 2025","Create entity","Users","",""
"","265","Create file","LMS service","Fri May 16 18:56:40 GMT 2025","passed","Fri May 16 18:56:40 GMT 2025","Create entity","Files","",""
"","289","Update exercise","LMS service","Fri May 16 18:56:38 GMT 2025","passed","Fri May 16 18:56:38 GMT 2025","Update entity","Exercises","",""
"","22","Get exercises","LMS service","Fri May 16 18:56:39 GMT 2025","passed","Fri May 16 18:56:39 GMT 2025","Get entities","Exercises","",""
"","544","Create user","LMS service","Fri May 16 18:56:42 GMT 2025","passed","Fri May 16 18:56:42 GMT 2025","Create entity","Users","",""
"","16","Get file","LMS service","Fri May 16 18:56:41 GMT 2025","passed","Fri May 16 18:56:41 GMT 2025","Get entity","Files","",""
"","292","Delete exercise","LMS service","Fri May 16 18:56:39 GMT 2025","passed","Fri May 16 18:56:39 GMT 2025","Delete entity","Exercises","",""
"","303","Get courses","LMS service","Fri May 16 18:56:35 GMT 2025","passed","Fri May 16 18:56:36 GMT 2025","Create entity","Courses","",""
"","23","Create exercise","LMS service","Fri May 16 18:56:37 GMT 2025","passed","Fri May 16 18:56:37 GMT 2025","Create entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Fri May 16 18:56:41 GMT 2025","passed","Fri May 16 18:56:41 GMT 2025","Validate entity","Files","",""
"","24","Delete file","LMS service","Fri May 16 18:56:42 GMT 2025","passed","Fri May 16 18:56:42 GMT 2025","Delete entity","Files","",""
"","305","Create course","LMS service","Fri May 16 18:56:35 GMT 2025","passed","Fri May 16 18:56:35 GMT 2025","Get entities","Courses","",""
